,wave,wave_years,country,respondent_number,year,sex,age,ethnic,status,top_earner,town_size,job,politician,university,women_movement,abortion,divorce,income_equality,choice_control
20857,WVS7,2017-2022,China,156720087.0,2018,Male,30.0,CN: Chinese,Married,Yes,50-100000,1,2,4,4,3,3,3,8
20860,WVS7,2017-2022,China,156720090.0,2018,Female,22.0,CN: Chinese,Single/Never married,No,50-100000,2,5,5,3,1,5,5,5
20861,WVS7,2017-2022,China,156720091.0,2018,Male,55.0,CN: Chinese,Separated,Yes,50-100000,1,2,1,4,1,1,7,5
20862,WVS7,2017-2022,China,156720092.0,2018,Male,49.0,CN: Chinese,Married,Yes,50-100000,3,4,4,4,8,4,7,9
20864,WVS7,2017-2022,China,156720094.0,2018,Male,31.0,CN: Chinese,Married,Yes,50-100000,3,2,2,2,1,2,4,5
20865,WVS7,2017-2022,China,156720095.0,2018,Female,26.0,CN: Chinese,Married,No,50-100000,3,2,4,3,1,1,8,6
20866,WVS7,2017-2022,China,156720096.0,2018,Female,60.0,CN: Chinese,Married,No,50-100000,1,1,1,3,1,1,6,10
20867,WVS7,2017-2022,China,156720097.0,2018,Male,46.0,CN: Chinese,Married,Yes,50-100000,1,2,2,4,1,1,5,5
20868,WVS7,2017-2022,China,156720098.0,2018,Male,36.0,CN: Chinese,Married,Yes,50-100000,1,2,4,3,10,10,6,7
20869,WVS7,2017-2022,China,156720099.0,2018,Male,31.0,CN: Chinese,Married,Yes,50-100000,3,4,4,3,6,6,5,7
20870,WVS7,2017-2022,China,156720100.0,2018,Male,24.0,CN: Chinese,Single/Never married,No,50-100000,2,4,4,4,1,1,5,5
20872,WVS7,2017-2022,China,156720102.0,2018,Female,56.0,CN: Chinese,Married,No,50-100000,1,2,4,3,6,5,10,10
20873,WVS7,2017-2022,China,156720103.0,2018,Male,31.0,CN: Chinese,Married,Yes,50-100000,2,4,4,3,5,3,8,6
20874,WVS7,2017-2022,China,156720104.0,2018,Female,28.0,CN: Chinese,Married,No,50-100000,3,4,4,3,10,10,6,6
20875,WVS7,2017-2022,China,156720105.0,2018,Female,28.0,CN: Chinese,Married,No,50-100000,1,4,4,3,1,1,5,10
20876,WVS7,2017-2022,China,156720106.0,2018,Male,56.0,CN: Chinese,Married,No,50-100000,1,1,1,4,1,1,1,10
20877,WVS7,2017-2022,China,156720107.0,2018,Female,48.0,CN: Chinese,Married,No,50-100000,1,2,2,3,1,1,8,6
20878,WVS7,2017-2022,China,156720108.0,2018,Female,57.0,CN: Chinese,Married,No,50-100000,2,2,1,3,1,1,7,10
20879,WVS7,2017-2022,China,156720109.0,2018,Female,57.0,CN: Chinese,Married,No,50-100000,1,4,1,3,1,1,10,8
20880,WVS7,2017-2022,China,156720110.0,2018,Female,37.0,CN: Chinese,Married,No,50-100000,1,1,4,4,1,1,8,9
20881,WVS7,2017-2022,China,156720111.0,2018,Male,51.0,CN: Chinese,Married,Yes,50-100000,2,4,4,4,1,1,10,8
20882,WVS7,2017-2022,China,156720112.0,2018,Female,46.0,CN: Chinese,Married,No,50-100000,1,4,4,3,1,1,8,9
20883,WVS7,2017-2022,China,156720113.0,2018,Female,58.0,CN: Chinese,Married,No,50-100000,1,1,2,4,1,1,2,10
20884,WVS7,2017-2022,China,156720114.0,2018,Male,54.0,CN: Chinese,Married,Yes,50-100000,1,2,4,4,1,5,6,6
20885,WVS7,2017-2022,China,156720115.0,2018,Male,64.0,CN: Chinese,Married,Yes,50-100000,1,1,5,4,1,1,8,7
